Image Name,Image Screen Shot url,Priority,Assigned on,Alt Text,Long Description
325-0005-1B_25.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_25.png,,,,
325-0005-1B_3.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_3.png,,,,
325-0005-1B_4.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_4.png,,,,
325-0005-1B_5.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_5.png,,,,
325-0005-1B_6.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_6.png,,,,
325-0005-1B_7.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_7.png,,,,
325-0005-1B_8.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_8.png,,,,
325-0005-1B_9.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0005-1B_9.png,,,,
325-0053-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_1.png,,,,
325-0053-1_10.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_10.png,,,,
325-0053-1_11.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_11.png,,,,
325-0053-1_12.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_12.png,,,,
325-0053-1_13.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_13.png,,,,
325-0053-1_14.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_14.png,,,,
325-0053-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_2.png,,,,
325-0053-1_3.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_3.png,,,,
325-0053-1_4.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_4.png,,,,
325-0053-1_5.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_5.png,,,,
325-0053-1_6.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_6.png,,,,
325-0053-1_7.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_7.png,,,,
325-0053-1_8.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_8.png,,,,
325-0053-1_9.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0053-1_9.png,,,,
325-0055-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_1.png,,,,
325-0055-1_10.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_10.png,,,,
325-0055-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_2.png,,,,
325-0055-1_3.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_3.png,,,,
325-0055-1_4.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_4.png,,,,
325-0055-1_5.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_5.png,,,,
325-0055-1_6.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_6.png,,,,
325-0055-1_7.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_7.png,,,,
325-0055-1_8.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_8.png,,,,
325-0055-1_9.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0055-1_9.png,,,,
325-0058-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0058-1_1.png,,,,
325-0058-1_3.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0058-1_3.png,,,,
325-0058-1_4.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0058-1_4.png,,,,
325-0078-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0078-1_1.png,,,,
325-0078-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0078-1_2.png,,,,
325-0078-1_3.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0078-1_3.png,,,,
325-0081-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0081-1_1.png,,,,
325-0081-1_13.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0081-1_13.png,,,,
325-0081-1_17.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0081-1_17.png,,,,
325-0081-1_18.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0081-1_18.png,,,,
325-0102-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0102-1_1.png,,,,
325-0102-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0102-1_2.png,,,,
325-0102-1_6.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0102-1_6.png,,,,
325-0102-1_7.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0102-1_7.png,,,,
325-0102-1_8.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0102-1_8.png,,,,
325-0102-1_9.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0102-1_9.png,,,,
325-0164-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0164-1_1.png,,,,
325-0164-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0164-1_2.png,,,,
325-0164-1_5.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0164-1_5.png,,,,
325-0164-1_6.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0164-1_6.png,,,,
325-0175-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0175-1_1.png,,,,
325-0175-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0175-1_2.png,,,,
325-0175-1_5.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0175-1_5.png,,,,
325-0175-1_6.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/325-0175-1_6.png,,,,
424-0055-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/424-0055-1_1.png,,,,
424-0055-1_11.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/424-0055-1_11.png,,,,
424-0055-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/424-0055-1_2.png,,,,
424-0057-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/424-0057-1_1.png,,,,
424-0057-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/424-0057-1_2.png,,,,
425-0018-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0018-1_1.png,,,,
425-0018-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0018-1_2.png,,,,
425-0018-1_9.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0018-1_9.png,,,,
425-0026-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0026-1_1.png,,,,
425-0026-1_9.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0026-1_9.png,,,,
425-0030-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0030-1_1.png,,,,
425-0030-1_12.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0030-1_12.png,,,,
425-0030-1_13.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/425-0030-1_13.png,,,,
525-0060-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/525-0060-1_1.png,,,,
525-0060-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/525-0060-1_2.png,,,,
525-0060-1_7.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/525-0060-1_7.png,,,,
525-0060-1_8.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/525-0060-1_8.png,,,,
624-0028-1_1.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/624-0028-1_1.png,,,,
624-0046-1_11.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/624-0046-1_11.png,,,,
624-0046-1_2.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/624-0046-1_2.png,,,,
624-0046-1_4.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/624-0046-1_4.png,,,,
624-0046-1_5.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/624-0046-1_5.png,,,,
624-0046-1_7.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/624-0046-1_7.png,,,,
624-0046-1_9.png,https://raw.githubusercontent.com/dakshsolution/daksh-31d6cfe0/main/images/624-0046-1_9.png,,,,
